wallet_address,label,first_transaction_date,wallet_age_days,apt_balance,other_token_count,total_transaction_count,successful_transaction_count,failed_transaction_count,unique_interacted_contracts,unique_interacted_addresses,avg_time_between_tx_seconds,std_dev_time_between_tx_seconds,most_active_hour,most_active_weekday,is_self_funded
0xe9c3799d3b0e2173d4d479c557660357076775777239d9ab0dd8636bb35d27a2,0,2025-02-18 15:38:07 UTC,145,1672558.585306,6,4,4,0,1,1,11036500.333333334,15301624.506145315,10,Monday,1
0x3e3e5e19eb2bd1c38db5fa7ab847eefd8298c466f49e7e13c94fee90e1b9e37d,0,2025-07-11 17:48:37 UTC,2,5.48513352,2,23,23,0,2,3,249816.77272727274,737783.6940218585,0,Thursday,1
0x0947c21859dd9426bf7241a34c40f4685c4774d14666ed8674f2f841e3ace332,0,2025-06-20 17:53:36 UTC,23,129.58767443,4,17100,14324,2776,6,5,772.4387391075502,2309.079818777324,14,Monday,0
0x236c3ce8db07636e116611f837fa9e1da4f47ee007ca3f87ec54d9356e51608f,0,2025-06-19 18:03:12 UTC,24,0.0050908,1,2,2,0,2,1,1964.0,0.0,17,Thursday,1
0x29b503e1a5633677fa679cbbfb98f3e7710b6cc48f1670ba0268d86f20bcda9f,0,2025-07-14 10:00:01 UTC,0,0.099989,3,1726,1726,0,1,1,8841.990144927537,15659.43339354459,14,Monday,1
0xbf7053a28ca5dbc5ba9a6cecb2faf0d2c4e615ddba0258d19540ec72f5809236,0,2024-06-03 06:50:52 UTC,406,0.00101,2,7,7,0,3,2,84.83333333333333,92.42188894171963,6,Monday,1
0xd98ddb1399b35df5bab42fd6f539c0b28d25b9c56ad815309da2f81631856d6a,0,2025-07-14 05:54:08 UTC,0,5.84935101,3,85,85,0,10,26,109779.26190476191,542956.1898583777,2,Monday,1
0xbb54327d47102f6e8d426f48c18d51026fd2082529f7adee806023d9528d7e3e,0,2025-06-18 18:13:06 UTC,25,4.999989,2,1,1,0,1,1,-1,-1,18,Wednesday,1
0x3d3a36177d129f759fec2f70f19ddad6cfd7170f54841a874e843173e52d0d4f,0,2025-01-24 13:52:08 UTC,171,0.300009,13,88,87,1,14,12,252283.6436781609,750713.5528066517,1,Tuesday,1
0xf12cd8cf6d2b366d24ebf766845507fcdb970fe50fcc217be864be907d963cf5,0,2025-01-24 13:52:08 UTC,171,0.100009,13,89,88,1,14,11,249426.57954545456,747050.0739225573,12,Tuesday,1
0x256ed6dfb3bf97ced3a1fd4b70847be4b5ce78c0befcb42e8480d030d6161888,0,2025-01-24 13:52:37 UTC,171,0.007009,14,130,129,1,21,18,231189.44186046513,739906.7363354258,14,Wednesday,1
0x86f1d7685d8d2f9e2928692971cb772c1c9b86dc2054df9c29e30971920f31e8,0,2025-07-12 12:47:00 UTC,2,0.03874684,16,53,52,1,19,9,1359411.9615384615,4299436.532592587,23,Tuesday,1
0xb3d37f8e6455c607e43d3ea45b4031b5859ebf6a7a4cc3186ac37aefaa5a3787,0,2025-07-14 14:12:40 UTC,0,5.78420538,1,1116,753,363,5,5,740.704932735426,2992.3162931309757,21,Friday,1
0x9837d5b51ff73310673ce1c5f44306b06356249c0d520fa1a5b7b0288d1076b0,0,2025-07-13 06:44:08 UTC,1,0.10360795,9,213,213,0,8,9,43367.6179245283,131021.51569548322,18,Thursday,1
0xa4e813afc64efb7b0ce8ffa965fc6dd5a5038fbc3dde2bc64fb68456642d5812,0,2025-07-11 10:26:30 UTC,3,104.07025452,4,137,137,0,3,1,112872.66176470589,359770.4984353633,18,Tuesday,1
0x190d44266241744264b964a37b8f09863167a12d3e70cda39376cfb4e3561e12,1,2022-11-06 18:05:56 UTC,980,5.76852616,1,7,7,0,2,6,269132.0,541304.8694990036,1,Wednesday,1
0x4ef6d6d174ae393cec4c8af0b75638082fe45c92e552b4df8bc679e3a0ddcb13,1,2024-09-30 07:28:36 UTC,287,0.25338529,10,38,38,0,2,11,109637.97297297297,230416.3664185767,15,Thursday,1
0x8a52e72d9f0f5541c1b3464514f20a63a169192e1a404d6a5057471523923c78,1,,0,0,0,0,0,0,0,0,-1,-1,-1,N/A,1
0x055c833f3c668dd863d3848d306e426a33eac615bb93be03fe3a2f721701fec1,1,2024-10-31 14:58:28 UTC,255,0.0097781,2,15,15,0,4,8,100498.21428571429,252809.03346715466,14,Tuesday,0
0x1111af3905d49c220e236b657b31c9b8c579f7cd4e3e60a15daaed991fe519de,1,2025-01-31 17:35:59 UTC,163,0,0,20900,4160,16740,14,110,1378.7425235657208,35187.37584763606,14,Monday,1
0x625298c47122667b23ea9c711b25ac2b2b8e3a49d45b2066da9defe0e2e201c1,1,2024-12-05 01:08:48 UTC,221,0,0,900,867,33,4,9,18719.895439377087,191392.53412191567,15,Tuesday,1
0xba720a5ffa57ed4c952fab38b09f507f993ec63e720df5afc1fe84b0fa57d2b8,1,2025-02-03 03:03:31 UTC,161,0,0,1700,1582,118,3,8,187.60388463802238,778.9714949871831,2,Sunday,1
0x719b8d08220825716a6f3113364385fdfb15aedfed00514799ce2a06406a5164,1,2025-02-03 15:11:05 UTC,160,0,0,900,416,484,10,2,2617.0133481646276,19334.838639129022,2,Monday,1
0x9593f927450a34d7e813373ae9e8b78eedaafba443f79678e23492324738e3ca,1,2024-06-29 10:16:58 UTC,380,0,0,500,239,261,1,0,197.46693386773546,186.91134827249982,13,Friday,1
0x983fe110ab9a83bd43da49260d064017af8527826957e7ebd057ba50a7b2458e,1,2024-11-11 13:07:28 UTC,245,0,0,1000,931,69,10,6,20661.843843843842,425200.5275691962,8,Tuesday,1
0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa,1,2024-07-08 20:01:00 UTC,370,106.45536965,9,52,52,0,3,26,1065156.3137254901,3441609.0980005465,2,Wednesday,1
0x66cb05df2d855fbae92cdb2dfac9a0b29c969a03998fa817735d27391b52b189,1,2024-04-20 03:06:25 UTC,450,0,0,22700,22700,0,2,21111,599.5220053746862,18691.339236526077,8,Friday,1
